smile,flavor
CC1C(C(C(C(O1)OC2C(C(C(OC2OC3C(C(C(OC3OC4CCC5(C(C4(C)CO)CCC6(C5CC=C7C6(CC(C8(C7CC(CC8O)(C)C)C)O)C)C)C)C(=O)O)O)O)CO)O)O)O)O)O,sweet
CC(=O)OCC1C(C(C(C(O1)OC2CCC3(C(C2(C)C)CCC4(C3C(=O)C=C5C4(CCC6(C5CC(CC6)(C)C(=O)OC)C)C)C)C)OC(=O)C)OC(=O)C)OC7C(C(C(C(O7)C(=O)OC)OC(=O)C)OC(=O)C)OC(=O)C,sweet
C(C(C(C(C(C(=O)F)O)O)O)O)O,sweet
C(C(C(C(C(CO[Si])O)O)O)O)O,sweet
CCCCCCCCOC1C(C(C(C(O1)CO)OC)O)O,sweet
C(CF)OC1C(C(C(C(O1)COC2C(C(C(C(O2)CO)O)O)O)O)O)O,sweet
COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3OC4C(C(C(C(O4)CO)O)O)O)O,sweet
COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3OC4C(C(C(C(O4)CO)O)O)O)OC,sweet
CCOC1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N=CN=C2N,sweet
CCCCOC1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N=CN=C2N,sweet
COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)COC5C(C(C(CO5)O)O)O)O)O)O)OC)OC,sweet
CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C(C(=C3)OC)C(=O)C=CC4=CC(=C(C=C4)OC)OC)OC)O)O)O)O)O)O,sweet
CC(=O)OCC1C(C(C(C(O1)OC2=CC(=C3C(=C2)OC(=CC3=O)C4=CC(=C(C=C4)OC)O)O)O)OC5C(C(C(C(O5)CO)O)O)O)O,sweet
COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)COC5C(C(C(C(O5)O)O)O)O)O)O)O)OCCO)OCCO,sweet
CC1(CC2C3=CCC4C5(CCC(C(C5CCC4(C3(CCC2(C(=O)C1)C)C)C)(C)CO)OC6C(C(C(C(O6)C(=O)O)O)O)OC7C(C(C(C(O7)CO)O)O)O)C)C,sweet
CC1(CCC2(C(C1)C3=CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)C)OC6C(C(C(C(O6)C(=O)O)O)OC7C(C(C(C(O7)CO)O)O)O)O)C)C(=O)O)C,sweet
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)OC6C(C(C(C(O6)C(=O)O)OC7C(C(C(C(O7)CO)O)O)O)O)O)O)C)C)C2C1)C)C(=O)O)C,sweet
CC1C(C(C(C(O1)OC2C(C(COC2OC3C(C(C(OC3OC4CCC5(C(C4(C)CO)CCC6(C5C(=O)C=C7C6(CCC8(C7CC(CC8O)(C)C)C)C)C)C)C(=O)O)O)O)O)O)O)O)O,sweet
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)O)O)O)OC7C(C(C(C(O7)CO)O)O)O)C)C)C2C1O)C)C(=O)OC8C(C(C(C(O8)CO)O)O)O)C,sweet
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)OC)O)OC(C(C(=O)OC)O)OCC(=O)OC)OC7C(C(C(C(O7)CO)O)O)O)C)C)C2C1)C)C(=O)O)C,sweet
CC1(CCC2(C(C1)C3=CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)C)OC6C(C(C(C(O6)C(=O)O)O)OC7C(C(C(C(O7)CO)O)O)O)OC8C(C(C(C(O8)CO)O)O)O)C)C(=O)OC9C(C(C(C(O9)CO)O)O)O)C,sweet
C1CCOC(C1)OC(CCO)CO,sweet
CCCCCOC1C(C(OC(C1O)O)CO)O,sweet
COC(=O)CC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)N,sweet
C1COC(C(C1OC2C(C(C(C(O2)CO)O)O)O)O)CO,sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)P(=O)(O)O)O,sweet
C(CI)OC1C(C(OC(C1O)O)CO)O,sweet
C(C1C(C(C(O1)(CCl)OC2C(C(C(C(O2)CO)Cl)O)O)O)O)O,sweet
C1C(C(OC1N2C=NC3=C2N=CN=C3N)CO)OP(=O)(CI)O,sweet
CC1C(C(C(C(O1)OC2C(C(C(OC2OC3C(C(COC3OC)O)O)CO)O)O)O)O)O,sweet
CCN(CC)C1=NC(=NC2=C1N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O)N(CC)CC,sweet
COC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)OC3C(C(C(CO3)O)O)O)O)O,sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OCC(CCCN=C(N)N)N)O)O,sweet
COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)OC)OC4C(C(C(C(O4)CO)O)O)O)OC,sweet
COC1=CC(=C2C(=C1)OC(=CC2=O)C3=CC(=C(C(=C3)OC)OC)O)OC4C(C(C(C(O4)CO)O)O)O,sweet
CC(C)CC(C(=O)NC(CC1=CC=CC=C1)C(=O)OC)NC(=O)C(CC2=CC=CC=C2)NC(=O)CCCN,sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=S)(OP(=O)(O)OP(=O)(O)O)S)O)O,sweet
COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)OC)OC4C(C(C(C(O4)COC5C(C(C(CO5)O)O)O)O)O)O)OC,sweet
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)OC)O)O)O)C)C)C2C1)C)C(=O)O)C,sweet
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)O)O)O)OC7C(C(C(C(O7)CO)O)O)O)C)C)C2C1)C)C(=O)O)C,sweet
C1C(C(C(C(O1)(CO)O)O)O)O.C(C1C(C(C(C(O1)O)O)O)O)O,sweet
COC1=C(C(=C2C(=O)CC(OC2=C1)C3=CC=C(C=C3)OC4C(C(C(C(O4)CO)O)O)O)O)OC,sweet
CC12CC(CC(C1CCC34C2CCC(C3)C(=C)C4O)C(=O)O)OC5C(C(C(C(O5)CO)O)O)O,sweet
C(C1C(C(C(C(O1)OC2C(C(OC(C2O)OCC3C(C(C(O3)(CO)O)O)O)CO)O)O)O)O)O,sweet
COC1=CC(=C2C(=C1)OC=C(C2=O)C3=CC(=C(C(=C3)OC)OC)OC4C(C(C(C(O4)CO)O)O)O)O,sweet
C1=CC(=C(C=C1C2=CC(=O)C3=C(C(=C(C=C3O2)O)C4C(C(C(C(O4)OC5C(C(C(C(O5)CO)O)O)O)O)O)O)O)O)O,sweet
CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=C3)OC(C(C4=O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O)O,sweet
CC1C(C(C(C(O1)OC2=C(C=CC(=C2)C3=C(C(=O)C4=C(C=C(C=C4O3)O)O)O)O)O)OC5C(C(C(C(O5)COC(=O)C)O)O)O)O,sweet
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)OC)O)O)OC7C(C(C(C(O7)C(=O)OO)O)O)O)C)C)C2C1)C)C(=O)O)C,sweet
CC1C(C(C(C(O1)OC2C(C(COC2OC3C(C(C(OC3OC4CCC5(C6CC=C7C8CC(CC(=O)C8(CCC7(C6(CCC5(C4(C)CO)C)C)C)C)(C)CO)C)C(=O)O)O)O)O)O)O)O)O,sweet
CC1C(C(C(C(O1)OC2C(C(COC2OC3C(C(C(OC3OC4CCC5(C6CC=C7C8CC(CC(C8(CCC7(C6(CCC5(C4(C)CO)C)C)C)C)O)(C)CO)C)C(=O)O)O)O)O)O)O)O)O,sweet
CC1C(C(C(C(O1)OC2C(C(C(OC2OC3C(C(C(OC3OC4CCC5(C(C4(C)CO)CCC6(C5CC=C7C6(CCC8(C7CC(CC8O)(C)C(=O)O)C)C)C)C)C(=O)O)O)O)CO)O)O)O)O)O,sweet
CC(=O)OCC1C(C(C(C(O1)OC2C(C(C(OC2OC3CCC4(C(C3(C)C)CCC5(C4C(=O)C=C6C5(CCC7(C6CC(CC7)(C)C(=O)OC)C)C)C)C)C(=O)OC)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,sweet
CC1(CC2C3=CCC4C5(CCC(C(C5CCC4(C3(CCC2(CC1O)C(=O)OC6C(C(C(C(O6)CO)O)O)O)C)C)(C)C)OC7C(C(C(C(O7)C(=O)O)O)OC8C(C(C(C(O8)CO)O)O)O)OC9C(C(C(C(O9)CO)O)O)O)C)C,sweet
CON1C(=O)C2=CC=CC=C2S1(=O)=O,sweet
CC1(OCC(O1)CCC2C(CCCO2)O)C,sweet
C1CCC(C(C1)OC2C(C(C(O2)CO)O)O)Cl,sweet
C(C(C1C(C(C(O1)OC(C(CO)O)C(CO)O)O)O)O)O,sweet
C1C(C(OC1N2C=NC3=C2N=C(N=C3N)Cl)COP(=O)(O)O)O,sweet
CCCC(=O)NCCCCC(CC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)NC,sweet
CCCCCCOC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O)O,sweet
CCCCCCCCCCCCCC(=O)NCC(=O)NC(CC1=CC=CC=C1)C(=O)O,sweet
CC1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N=CN=C2N,sweet
C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O.[OH-].[OH-].[OH-].[Fe+3],sweet
CC1(CC(C(C(O1)OC2C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C(=C4)O)O)O)O)O)O,sweet
C1COC2=C(O1)C=CC(=C2)CCC(=O)C3=C(C=C(C=C3OC4C(C(C(C(O4)CO)O)O)O)O)O,sweet
CC1C(C(C(C(O1)OC2C(C(C(OC2OC3C(OC(C(C3OC)OC)OC)C)C)O)OC)OC)OC)O,sweet
CCNC1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N=CN=C2N,sweet
CC(C)CC(=O)OC1C(C(C(OC1OC2CC(C3CCC45CC(CCC4C3(C2)C)C(=C)C5O)C(=O)O)CO)O)O,sweet
CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)OC5C(C(C(CO5)O)O)O)O)O,sweet
CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=C(C=C4C(=C3O)C(=O)C=C(O4)C5=CC=C(C=C5)OC)OC)CO)O)O)O)O)O,sweet
COC1=CC(=C2C(=C1)OC(=CC2=O)C3=CC(=C(C(=C3)OC)OC)OC)OC4C(C(C(C(O4)COC5C(C(C(CO5)O)O)O)O)O)O,sweet
CC12CCC(C(C1CCC3(C2CC=C4C3(CCC5(C4CC(CC5O)(C)CO)C)C)C)(C)CO)OC6C(C(C(C(O6)C(=O)O)O)O)OC7C(C(C(C(O7)CO)O)O)O,sweet
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)OC)O)OC(C(C(=O)OC)O)OCC(=O)OC)O)C)C)C2C1)C)C(=O)O)C,sweet
CC1(CCC2(CCC3C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)O)O)OC7C(C(C(C(O7)CO)O)O)O)O)C)C)C2C1)C(=O)OC8C(C(C(C(O8)CO)O)O)O)C,sweet
CC1C(C(C(C(O1)OC2C(C(C(OC2OC3C(C(C(OC3OC4CCC5(C(C4(C)CO)CCC6(C5C(=O)C=C7C6(CCC8(C7CC(CC8O)(C)C)C)C)C)C)C(=O)O)O)O)CO)O)O)O)O)O,sweet
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)O)OC7C(C(C(CO7)O)OC8C(C(C(C(O8)CO)O)O)O)O)O)O)C)C)C2C1)C)C(=O)OC9C(C(C(C(O9)CO)O)O)O)C,sweet
CC1C(C(C(C(O1)OC2C(C(C(OC2OC3C(C(C(OC3OC4CCC5(C(C4(C)CO)CCC6(C5CC=C7C6(CCC8(C7CC(CC8OC9C(C(C(CO9)O)O)O)(C)C(=O)OC)C)C)C)C)C(=O)OC)O)O)CO)O)O)O)O)O,sweet
CC1C(C(C(C(O1)OC2C(COC(C2OC3C(C(C(C(O3)C)OC)OC)OC)OC(=O)C45CCC(CC4C6=CCC7C8(CCC(C(C8CCC7(C6(CC5O)C)C)(C)C)OC9C(C(C(C(O9)C(=O)OC)OC)OC)OC)C)(C)C)O)OC)OC)OC,sweet
CC1(C(C(C(C(O1)O)O)O)OC)C,sweet
CC(C)(OC)OC1C(C(C(C(O1)CO)O)O)O,sweet
C1C(C(OC1N2C=NC3=C2N=CN=C3N)COP(=S)(O)S)O,sweet
C1C(C(OC1N2C=NC3=C2N=CN=C3N)CO)OP(=S)(O)S,sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(CP(=O)(CP(=O)(O)O)O)O)O)O,sweet
C(CCOCCCOC1C(C(C(C(O1)CO)O)O)O)COCCCOCC2C(C(C(C(O2)O)O)O)O,sweet
CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O)O,sweet
CC1(CCC2(C(C1)C3=CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)CO)OC6C(C(C(C(O6)C(=O)O)O)O)O)C)C(=O)O)C,sweet
CC1(CC2C(CCC3(C2=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)O)O)O)OC7C(C(C(CO7)O)O)O)C)C)C)C(C1)C(=O)OC8C(C(C(C(O8)CO)O)O)O)C,sweet
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)CO)OC6C(C(C(C(O6)C(=O)O)O)O)OC7C(C(C(C(O7)CO)O)O)O)C)C)C2C1)C)C(=O)OC8C(C(C(C(O8)CO)O)O)O)C,sweet
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)O)OC7C(C(C(CO7)O)O)O)O)OC8C(C(C(C(O8)CO)O)O)O)C)C)C2C1)C)C(=O)OC9C(C(C(C(O9)CO)O)O)O)C,sweet
C1=CC=C2C(=C1)C(=O)N(S2(=O)=O)O,sweet
CCOC(C#C)OC1C(C(C(C(O1)CO)O)O)O,sweet
C1=CC=C(C=C1)CC(C(=O)NC(CC(=O)N)C(=O)O)N,sweet
C1COC(CC1OC2C(C(C(C(O2)CO)O)O)O)CO,sweet
C(CI)OC1C(C(C(C(O1)CO)O)O)O,sweet
C1CCN(CC1)C2=NC3=C(N2C4C(C5C(O4)COP(=O)(O5)O)O)N=CN=C3N,sweet
CC1C(C(C(C(O1)OC2=C(C(=C3C(=C2)OC(=CC3=O)C4=CC=C(C=C4)O)O)OC)O)O)O,sweet
COC1=CC(=C2C(=C1)OC(=CC2=O)C3=CC(=C(C=C3)O)OC4C(C(C(C(O4)CO)O)O)O)O,sweet
COC1=CC(=C2C(=C1)OC(=CC2=O)C3=CC(=C(C(=C3)OC)O)OC)OC4C(C(C(C(O4)CO)O)O)O,sweet
CC(C)(C)COC1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N=CN=C2N,sweet
CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)O)O)O)O)C)CC=C5C3(CCC6(C5CC(=C)CC6)C(=O)O)C)C)C,sweet
C1=CC=C2C(=C1)C(=O)N(S2(=O)=O)[Hg].C1=CC=C2C(=C1)C(=O)N(S2(=O)=O)[Hg],sweet
CC1(CC2C3=CCC4C5(CCC(C(C5CCC4(C3(CCC2(C(C1)O)C)C)C)(C)CO)OC6C(C(C(C(O6)C(=O)O)O)O)OC7C(C(C(CO7)O)O)O)C)C,sweet
CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)OC)O)O)OC5C(C(C(C(O5)C(=O)OC)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)OC)C)C)C)C,sweet
CC1C(C(C(C(O1)OC2C(C(COC2OC3C(C(C(OC3OC4CCC5(C(C4(C)C)CCC6(C5CC=C7C6(CCC8(C7CC(CC8O)(C)C)C)C)C)C)C(=O)O)O)O)O)O)O)O)O,sweet
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C7C(C(O6)C(=O)O)OC(C(O7)OCC(=O)O)(C(=O)O)OC)O)C)C)C2C1)C)C(=O)OC8C(C(C(C(O8)CO)O)O)O)C,sweet
CC1C(C(C(C(O1)OC2C(COC(C2OC3C(C(C(C(O3)C)O)O)O)OC(=O)C45CCC(CC4C6=CCC7C8(CCC(C(C8CCC7(C6(CC5O)C)C)(C)C)OC9C(C(C(C(O9)C(=O)OC)O)O)O)C)(C)C)O)O)O)O,sweet
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)OC)O)OC7C(C(C(C(O7)CO)O)O)O)OC8C(C(C(CO8)O)O)O)C)C)C2C1)C)C(=O)OC9C(C(C(C(O9)CO)O)O)O)C,sweet
CC1C(C(C(C(O1)OC2C(C(C(OC2OC3C(C(C(OC3OC4CCC5(C(C4(C)CO)CCC6(C5CC=C7C6(CCC8(C7CC(CC8OC9C(C(C(CO9)O)O)O)(C)C(=O)O)C)C)C)C)C(=O)O)O)O)CO)O)O)O)O)O,sweet
C=CCCCOC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],sweet
CC(C(=O)NC(CC1=CC=CC=C1)C(=O)OC)N=C=O,sweet
COC(=O)C(CC1=CC=CC=C1)NC(=O)CNCC=C,sweet
CC(C)(C)OC(=O)C(CC1=CC=CC=C1)NC(=O)CCC(=O)O,sweet
C(CC1C(C(C(C(O1)O)O)O)O)C2C(C(C(O2)C(CO)O)O)O,sweet
CC1C(C(C(C(O1)OC)O)OC2C(C(C(C(O2)CO)O)O)O)O,sweet
CC(=O)NC1CC2=CC(=CC=C2)CC(NC(=O)CNC1=O)C(=O)OC,sweet
CC(=O)NC1CC2=CC(=CC=C2)CC(NC(=O)CCCCCNC1=O)C(=O)OC,sweet
CC(C)(C)OC(=O)CC1C(=O)N(CCN1)C(CC2=CC=CC=C2)C(=O)OC(C)(C)C,sweet
COC1=C(C(=C2C(=C1)OC(=CC2=O)C3=CC=CC=C3)O)OC4C(C(C(C(O4)CO)O)O)O,sweet
COC1=C(C=C(C=C1)CCC(=O)C2=C(C=CC=C2OC3C(C(C(C(O3)CO)O)O)O)O)OC,sweet
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)OC)O)OC7C(C(C(CO7)O)O)O)O)C)C)C2C1)C)C(=O)OC)C,sweet
CC1C(C(C(C(O1)OC2C(C(OC(C2O)OC3CCC4(C(C3(C)C)CCC5(C4CC=C6C5(CCC7(C6CC(CC7)(C)C)C(=O)O)C)C)C)C(=O)OC)O)O)O)O,sweet
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)CO)OC6C(C(C(C(O6)C(=O)O)O)O)OC7C(C(C(C(O7)CO)O)O)O)C)C)C2C1)C)C(=O)O)C,sweet
CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)CO)OC5C(C(C(C(O5)C(=O)O)O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)OC)C)C)C)C,sweet
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)OC6C(C(C(C(O6)C(=O)O)O)O)O)O)C)C)C2C1)C)C(=O)OC7C(C(C(C(O7)CO)O)O)O)C,sweet
CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3CCC4(C(C3)CCC5C4CCC6(C5CC(C6C(C)C(=O)CCC(C)COC7C(C(C(C(O7)CO)O)O)O)O)C)C)CO)O)O)O,sweet
CC1C(C(C(C(O1)OC2C(C3(CCC4(C(=CCC5C4(CCC6C5(CCC(C6(C)CO)OC7C(C(C(C(O7)C(=O)O)O)O)O)C)C)C3CC2(C)CO)C)C)O)OC(=O)C)OC(=O)C)OC(=O)C,sweet
CCCCCCCCCCCOC(=O)C1C(C(C(C(O1)OC2C(C(C(OC2OC3CCC4(C(C3(C)C)CCC5(C4C(=O)C=C6C5(CCC7(C6CC(CC7)(C)C(=O)OCCCCCCCCCCC)C)C)C)C)C(=O)OCCCCCCCCCCC)O)O)O)O)O,sweet
CC1(OC2C(C(OC(C2O1)O)CO)O)C,sweet
CC1(C(OC2C(O1)CC(OC2CO)OC)(C)OC)OC,sweet
CCC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC)CO)O)O)O,sweet
C(C1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O)O)O,sweet
CC(=O)NC1CC2=CC(=CC=C2)CC(NC(=O)CCCNC1=O)C(=O)OC,sweet
CC(C)CC(C(=O)NC(CC1=CC=CC=C1)C(=O)OC)NC(=O)C(CO)NC=O,sweet
C1C(C(OC1N2C=NC3=C2N=CN=C3N)COP(=O)=O)O,sweet
C1=CC(=C(C2=C1C(=O)C3=C(C=C(C=C3O2)OC4C(C(OC(C4O)O)CO)O)O)O)O,sweet
COC1=C(C=CC(=C1)C2=COC3=C(C2=O)C=CC(=C3)OC4C(C(C(C(O4)CO)O)O)O)O,sweet
CC(=O)N(CCCC=C)CC(=O)N(CCCC=C)CC(=O)NC(CC1=CC=CC=C1)C(=O)OC,sweet
COC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC2=CC=CC=C2)NC(=O)C3CCCN3C(=O)CCC(=O)O,sweet
C1C(OC2=CC(=CC(=C2C1=O)O)OC3C(C(C(C(O3)COC4C(C(C(CO4)O)O)O)O)O)O)C5=CC(=C(C=C5)O)O,sweet
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)O)O)OC(C(C(=O)O)O)OCC(=O)O)OC7C(C(C(CO7)O)O)O)C)C)C2C1)C)C(=O)OC8C(C(C(C(O8)CO)O)O)O)C,sweet
CC(=O)OC1C(OC(C(C1OC(=O)C)OC(=O)C)OC2CCC3(C(C2(C)C)CCC4(C3C(=O)C=C5C4(CCC6(C5CC(CC6)(C)C(=O)OC)C)C)C)C)COC7C(C(C(C(O7)C(=O)OC)OC(=O)C)OC(=O)C)OC(=O)C,sweet
CC(COC1C(C(C(C(O1)CO)O)O)O)O,sweet
CC(CO)OC1C(C(C(C(O1)CO)O)O)O,sweet
COC(=O)CC(=O)NC(CC1=CC=CC=C1)C(=O)OC,sweet
C(C1C(C(C(C(O1)O)O)O)I)O,sweet
C(CCCO)CCCOC1C(C(C(C(O1)CO)O)O)O,sweet
COC(=O)C(CCC(=O)NC(CC1=CC=CC=C1)C(=O)O)N,sweet
CNC(CC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)OC,sweet
C1C2(C(C(C(O2)CO)O)O)OC3C(C(C(OC3O1)CO)O)O,sweet
C(CC1C(C(C(C(O1)O)O)O)O)C2C(C(C(C(O2)CO)O)O)O,sweet
COC1C(C(C2C(O1)COC3(O2)C(C(C(C(O3)CO)O)O)O)O)O,sweet
COC1=C(C2=C(C(=C1)O)C(=O)C3=C(O2)C=CC(=C3O)OC4C(C(C(C(O4)CO)O)O)O)OC,sweet
C1=NC2=C(C(=N1)N)N=C(N2C3C(C(C(O3)COP(=O)(O)O)OP(=O)(O)O)O)N=[N+]=[N-],sweet
COC1=C(OC2=CC(=CC(=C2C1=O)O)OC3C(C(C(C(O3)COC4C(C(C(C(O4)CO)O)O)O)O)O)O)C5=CC(=C(C=C5)O)O,sweet
CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)CO)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)OC)C)C)C)C,sweet
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)OC)OCOC)OC7C(C(C(CO7)O)O)OCOC)OCOC)C)C)C2C1)C)C(=O)OC)C,sweet
CC(=O)OC1C(C(C(OC1C(=O)OC)OC2CCC3(C(C2(C)C)CCC4(C3CC=C5C4(CCC6(C5CC(CC6)(C)C)C(=O)OC)C)C)C)OC(=O)C)OC(C(C(=O)OC)O)OCC(=O)OC,sweet
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)O)O)O)OC7C(C(C(C(O7)CO)O)O)OC8C(C(C(C(O8)CO)O)O)O)C)C)C2C1)C)C(=O)O)C,sweet
CC1C(C(C(C(O1)OC2C(C(C(OC2OC3C(C(C(OC3OC4CCC5(C(C4(C)CO)CCC6(C5CC=C7C6(CCC8(C7CC(CC8=O)(C)C(=O)O)C)C)C)C)C(=O)O)O)O)CO)O)O)O)O)O,sweet
C1C(C(OC1N2C=NC3=C2N=CN=C3N)COP(=O)(C(P(=O)(O)O)P(=O)(O)O)O)O,sweet
C(C1C(C(C(C(O1)ON)O)O)O)O,sweet
C1COC2(CO1)C(C(C(CO2)O)O)O,sweet
CC(CCOC1C(C(C(C(O1)CO)O)O)O)O,sweet
C1C(C(C(C2(O1)COC3C(O2)C(C(C(O3)CO)O)O)O)O)O,sweet
C(C(C1C(C(C(O1)OCC(C2C(C(C(O2)O)O)O)O)O)O)O)O,sweet
COC1C(C(OC(C1OC)OC)CO)OC2C(C(C(C(O2)CO)O)O)O,sweet
CC(=O)NC1CC2=CC(=CC=C2)CC(NC(=O)CCCCNC1=O)C(=O)OC,sweet
CC(CNC1=NC2=C(N1C3C(C4C(O3)COP(=O)(O4)O)O)N=CN=C2N)O,sweet
CC(=O)N(CC=C)CC(=O)N(CC=C)CC(=O)NC(CC1=CC=CC=C1)C(=O)OC,sweet
CC(C)CC(C(=O)NC(CC1=CC=CC=C1)C(=O)OC)NC(=O)C(CCC(=O)N)NC=O,sweet
COC1=CC(=C2C(=O)CC(OC2=C1)C3=CC(=C(C=C3)OC4C(C(C(C(O4)CO)O)O)OC5C(C(CO5)(CO)O)O)OC)O,sweet
CC12CCC(C(C1CCC3(C2CC=C4C3(CCC5(C4CC(C(C5O)O)(C)CO)C)C)C)(C)CO)OC6C(C(C(C(O6)C(=O)O)O)O)OC7C(C(C(C(O7)CO)O)O)O,sweet
CC(=O)OC1C(C(COC1OC2C(C(OC(C2OC(=O)C)OC3CCC4(C(C3(C)C)CCC5(C4CC=C6C5(CCC7(C6CC(CC7)(C)C)C(=O)OC)C)C)C)C(=O)OC)OC(=O)C)O)O,sweet
